,Sermons,Dates,Description,Links
86,​Set Free To Reign In Life (Live at MegaFest)​ ,9 July 2017,"Jesus sets you free to live victorious! In this powerful Christ-centered message preached at MegaFest 2017, Joseph Prince points you to the loving Savior who came to set sinners and captives free. Receive revelatory truths from Scripture after Scripture on how it is the gospel of grace, and not the law, that liberates, restores, heals, and empowers you to reign in life. Be set free from guilt and condemnation, sickness and every bondage, as you encounter first-hand the pure grace of our Lord Jesus in this uplifting message. Wherever you’re at in life today, God wants to transform your life from glory to glory!",https://www.josephprince.com/sermons/set-free-to-reign-in-life-live-at-megafest?sku=20170709VJ
87,Live Strong In The Father's Love ,18 June 2017,"Your heavenly Father’s love makes you strong and victorious! In this powerful message, Joseph Prince shows how as children thrive on their father’s love, we as believers overcome when we constantly receive our heavenly Father’s love. Get a fresh dose of God’s love as Joseph reveals how the story of the Prodigal Son contrasts with the old covenant law that deals with rebellious sons. See why, because another Son took all our punishment and fulfilled the law, our heavenly Father now has a righteous foundation to bless us. Begin to defeat your giants and possess your inheritance as you live strong in your Father’s love!",https://www.josephprince.com/sermons/live-strong-in-the-fathers-love?sku=20170618VJ
88,Turn Your Frustrations Into Breakthroughs ,21 May 2017,"Turn your frustrations into breakthroughs when you know how compassionate God is toward you even during seasons of frustration. In this inspiring message, Joseph Prince answers the question, “Why am I not seeing any change in my circumstances?” Rather than fret and complain, discover God’s practical love for you as you learn to see how He may be using your current frustrations and challenges to prepare you for greater success. The more you understand your heavenly Father’s loving correction in your life, the more you will see it leading you to greater breakthroughs and an abundant life!",https://www.josephprince.com/sermons/turn-your-frustrations-into-breakthroughs?sku=20170521VJ
89,Align Yourself With His Purpose And Prosper ,14 May 2017,"Experience good success when you run with God’s heart for His people! In this powerful message by Joseph Prince, discover how you can live in increasing levels of favor, supply, and victory as you align yourself with God’s focus in the new covenant of grace. Learn also the secret to knowing God’s heart and doing great things for Him through an exciting study of David and his mighty men. Begin to walk in a giant-slaying anointing as you see from the Scriptures what it means to follow Jesus our King wholeheartedly, and see every area of your life prosper!",https://www.josephprince.com/sermons/align-yourself-with-his-purpose-and-prosper?sku=20170514VJ
90,Victory In Your Day Of Trouble ,7 May 2017,"When trouble comes, the Lord is not just your very present help, He is also your salvation! In this encouraging message, Joseph Prince shows you, from the battle of Jonathan and his armor-bearer at Michmash, how our covenant-keeping Lord is a God who saves. Experience victory in every battle, even with the odds against you, when you see how He cares for you and can use the smallest of things to rescue you. Whatever your mountain today, you can scale it and see your enemies take flight because the One who saves is on your side, giving you victory!",https://www.josephprince.com/sermons/victory-in-your-day-of-trouble?sku=20170507VJ
91,Win Over Guilt And Condemnation ,30 April 2017,"Win in life when you cast aside the weight of guilt and condemnation! In this powerful message, Joseph Prince shows you how the cross has made all the difference to why you don’t have to walk around sin-conscious or be afraid of God’s judgment as a believer. Whatever your challenge today, understand how in the Lord you surely have righteousness and strength to overcome every fight of life. And the more you believe and confess this truth that is based on the righteous foundation of Jesus’ finished work, the more you will overcome and reign in life!",https://www.josephprince.com/sermons/win-over-guilt-and-condemnation?sku=20170430VJ
92,What Makes No Weapon Prosper Against You ,16 April 2017,"Come to the place where no weapon formed against you prospers! Have no fear, whether it’s a negative health report, stressful situation in your workplace, or challenge in your family life. In this encouraging message by Joseph Prince, learn what it means to be established in righteousness and how this nullifies the attacks of the enemy against you. Discover also the undeniable proof that you are justified in Christ and overcome the accusations of the devil to walk in victory over those areas of defeat. Unleash the power to reign in life as you embrace what Jesus’ death and resurrection have purchased for you!
",https://www.josephprince.com/sermons/what-makes-no-weapon-prosper-against-you?sku=20170416VJ
93,Win Over Fear And Pride ,9 April 2017,"Break free from fear and a mindset of entitlement! Joseph Prince examines the ministries of the prophets, Elijah and Elisha, and uncovers important lessons on fear and faith, as well as pride and humility. Discover how pride and self-importance can creep into our lives and how we can be set free. See also how you’ll go from fearful and depressed to stable and strong as you receive God’s kindness toward you. Wherever you’re at today, discover God’s heart for His children in this age of grace, and experience all that He wants to do in you, for you, and through you!",https://www.josephprince.com/sermons/win-over-fear-and-pride?sku=20170409VJ
94,"Win Over Discouragement, Depression And Burnout ",19 March 2017,"Where is God when we’re discouraged or burned out? Find the beautiful, scriptural answer to this as Joseph Prince examines the up and downs of the prophet Elijah and shows you God’s grace and love for you through it all. Find rest and practical wisdom as you learn how to keep your eyes on your invisible but invincible God when you’re depressed and discouraged whether in ministry or after a long wait for your breakthrough. Get out of the doldrums today as you see how God personally cares for you during these low moments, and experience a new level of victory and faith!",https://www.josephprince.com/sermons/win-over-discouragement-depression-and-burnout?sku=20170319VJ
95,Know Him Whose Heart Is To Serve You ,12 March 2017,"Let the One who came to serve love you into wholeness! Fall in love with Jesus all over again as Joseph Prince reveals our Lord’s heart to serve those He came to save. See how He went about healing the sick, feeding the hungry, and even giving sight to a cursed, blind beggar. Understand how He is the fulfillment of the law of the Hebrew servant as He chose to be pierced at Calvary because of His love for you. Have your needs met and begin to serve Him effectively out of rest as you let Jesus minister His Word, love, and supply to you!",https://www.josephprince.com/sermons/know-him-whose-heart-is-to-serve-you?sku=20170312VJ
96,Be Led By The Spirit Into Every Blessing ,5 March 2017,"Who better to lead you to your breakthrough and good success than God’s Holy Spirit! In this practical message, get acquainted with the third Person of the trinity as Joseph Prince shows you how the Holy Spirit leads you today. Understand what activates the Spirit, His anointing, and His power in your life. Whether it’s a chronic health problem, financial debt, or a pressing family need, hear this revelatory message and start to walk in a greater measure of the Spirit’s leading. When you learn to hear and follow His promptings, you cannot but run smack into God’s blessings for you!",https://www.josephprince.com/sermons/be-led-by-the-spirit-into-every-blessing?sku=20170305VJ
97,Live Stress-Free By His Spirit ,26 February 2017,"Live stress-free in the face of life’s demands as you’re led by the Spirit! Joseph Prince shows you how you can overcome the pressures of life by flowing with the divine Helper sent to live in and guide every believer. Understand how He leads you on the wavelength of peace to experience both rest and practical wisdom for good success. Learn also how praying in the Spirit unlocks rivers of peace, love, healing, and wholeness to your heart and mind. Stop living life frantic and anxious, start flowing with God’s Spirit, and see divine results as you are led by His Spirit!",https://www.josephprince.com/sermons/live-stress-free-by-his-spirit?sku=20170226VJ
98,The Rapture—Your Blessed Hope In Dark Times ,22 February 2017,"Look up with joyful expectation because Christ our bridegroom is coming back for us! In this uplifting message, Joseph Prince expounds on the rapture of the church, distinguishing it from the Second Coming of Christ and showing from Scripture why believers will not go through the seven years of great tribulation on earth. Understand clearly also what qualifies you for the rapture and how having this blessed hope of Jesus’ promised return purifies you to live a life that honors Him. Even as the world darkens, find your heart untroubled as you hold on to the liberating truths shared in this pivotal message!",https://www.josephprince.com/sermons/the-rapture-your-blessed-hope-in-dark-times?sku=20170222VJ
99,Amazing Things Happen When You Flow With The Spirit ,19 February 2017,"
Live an amazing life when you flow with God’s Spirit! Joseph Prince unveils the beauty of Christ and the workings of the unnamed servant—the Holy Spirit—in the love story of Isaac and Rebekah. See how the Spirit has been sent to prepare a lovely bride—the church—for Christ and to glorify Him. Learn to flow with the Spirit and find yourself falling in love with Jesus as you hear more about His goodness toward you. Let the Spirit deposit in you special gifts, give you right-place-right-time blessings, and help you live a fruitful life with Christ!
",https://www.josephprince.com/sermons/amazing-things-happen-when-you-flow-with-the-spirit?sku=20170219VJ
100,The Friend You Can Always Depend On ,12 February 2017,"
What a friend we have in Jesus! Joseph Prince shows you why Jesus is the friend you can always turn to for help. See how He’s always with you to comfort, guide, and bring His light into every confusing and dark situation. Hear why just talking to the Lord about what’s troubling you allows the Holy Spirit to lead you by His peace and give you practical wisdom for every need or challenge. As you cast your cares to Jesus and trust in His goodness, you will find Him truly a friend you can always count on!
",https://www.josephprince.com/sermons/the-friend-you-can-always-depend-on?sku=20170212VJ
101,Stay On Grace Ground And Experience True Life ,5 February 2017,"
How can you live under a constant flow of God’s supply, miracles, and divine life? In this enlightening message, Joseph Prince shows you from the Scriptures the new covenant way to experiencing all the blessings of God as well as what sabotages sincere believers in this area today. Discover the crucial key to living a life that honors God and positions you to receive healing, provision, and the breakthroughs you need. Be blessed as you also learn how to keep growing in this right believing that brings rest, fruits of holiness, and the full, abundant life Jesus died for you to have! 
",https://www.josephprince.com/sermons/stay-on-grace-ground-and-experience-true-life?sku=20170205VJ
102,Walk In Constant Victory Over Fear ,8 January 2017,"
Live unafraid when you eradicate the root of all fears from your life! In this riveting and revelation-packed message, Joseph Prince scripturally exposes the mother of all fears—the fear of death—and shows you why and how Christ has set you free from its crippling hold. Learn how the devil came to have the power of death over man, how he enforces the fear of death today, and why his age-old strategy fails when you count on Jesus’ perfect sacrifice for your sins at the cross. Whatever your fears today, hear the truth and experience confidence and permanent victory over every fear!
",https://www.josephprince.com/sermons/walk-in-constant-victory-over-fear?sku=20170108VJ
103,Jesus Our Jubilee ,1 January 2017,"
Walk in a whole new level of freedom and God’s free favors this year! Joseph Prince expounds on the blessed significance of the biblical Jubilee and shows you why Jesus is the reason you can expect liberty from your bondages today. Discover the scriptural keys to experiencing Jubilee blessings that include cancellation of all debts and restoration of your health and family relationships. Understand the importance of inward rest with active hearing of the gospel, and start to flow with His Spirit for good success. Listen to the powerful truths shared and start seeing Jesus as your Jubilee sweep across every area of your life!
",https://www.josephprince.com/sermons/jesus-our-jubilee?sku=20170101VJ
104,Jesus—Your Reason For A Fear-Free Life ,25 December 2016,"
Live without fear or anxiety for unto you a Savior has been given! In this uplifting Christmas message by Joseph Prince, see why Jesus is the reason you can enjoy a fear-free life. Understand why heaven’s reassurance of “fear not” pertaining to Jesus’ birth is still God’s word to you today—because God has given you a Savior, not a law-giver or judge. Feel fear lose its grip as you hear how your wonderful Savior doesn’t just save you from your sins, but also heals and provides. Experience true peace as you learn why His supply for you will always exceed every demand!
",https://www.josephprince.com/sermons/jesus-your-reason-for-a-fear-free-life?sku=20161225VJ
105,Redemption Truths That Bless Your Relationships ,27 November 2016,"
Discover in God’s beautiful redemptive plan for man powerful keys that will transform your relationships! In this practical message, Joseph Prince reveals the real beauty behind God’s creation of the first man and woman, and how our glorious redemption was always preeminent to Him. See how Adam and Eve are a picture of Christ and His church, and learn from this original, divine model practical truths for a fulfilling and successful marriage and family life. You’ll discover simple but effective ways to build and bless your relationships as you allow His redemption truths to refresh your heart!
",https://www.josephprince.com/sermons/redemption-truths-that-bless-your-relationships?sku=20161127VJ
106,"As Jesus Is, So Are You ",13 November 2016,"
Have boldness in the day of adversity and rise above the storms of life! In this uplifting and powerful message, Joseph Prince shows you how you can practically apply the Bible truth that as Jesus is in heaven, so are you in this world. See how it isn’t limited to your position in Christ, but is applicable to your physical, mental, and emotional well-being too. Be blessed also to know that Jesus sees through the darkest hours to your struggles and will come walking on the storm to rescue you. Become like Him and do the impossible, as you simply keep your eyes on Him!
",https://www.josephprince.com/sermons/as-jesus-is-so-are-you?sku=20161113VJ
107,The Four Gospels Unlocked For Your Blessings—Part 3 ,6 November 2016,"
Find a strong anchor and certainty in life as you see the Lord’s love and heart to bless you in the gospels! In part 3 of this series, Joseph Prince shows you the goodness and grace of Jesus your High Priest in the Gospel of Luke. Discover how making Him central in your life gives you an unfailing compass with which to navigate life successfully. Be refreshed as you see how Jesus will always hear your cries for help and speak words of grace, restoration, and blessings to you. Whatever your difficulty today, experience His priestly grace and be transformed from glory to glory!
",https://www.josephprince.com/sermons/the-four-gospels-unlocked-for-your-blessings-part-3?sku=20161106VJ
108,The Four Gospels Unlocked For Your Blessings—Part 2 ,16 October 2016,"Experience God’s love anew in this exciting study of the Gospels! In part 2 of this series, Joseph Prince shows you the incomparable majesty and compassion of the King of kings in the Gospel of Matthew. Uncover nuggets of the Lord’s amazing grace toward you and find faith rising effortlessly to receive your miracle. Discover how the divine exchange at the cross has paid for your healing, redeemed you from every trace of shame, and qualified you to be mighty in His kingdom despite the failures of your past. See a God of abundant grace and reign abundantly in every area of life!
",https://www.josephprince.com/sermons/the-four-gospels-unlocked-for-your-blessings-part-2?sku=20161016VJ
109,The Four Gospels Unlocked For Your Blessings ,9 October 2016,"
Get blessed four times over as Joseph Prince gives you the keys to unlocking the treasures of the four gospels. Understand the primary focus of each gospel and see the excellencies and beauties of your Savior from different divinely-engineered angles. Learn also why the Gospel of John stands in a class of its own. This message will excite you to read the gospels afresh and grow your faith as you feed on the different facets of our Lord—King, Servant, Savior, and Son. Whatever you’re going through today, get your breakthrough as you encounter all that He is for you in the four gospels!
",https://www.josephprince.com/sermons/the-four-gospels-unlocked-for-your-blessings?sku=20161009VJ
110,God Is A Gracious Rewarder ,2 October 2016,"
God loves it when you see Him as a great rewarder! In this eye-opening message by Joseph Prince, learn how there’s no contradiction between grace and rewards. See a good God who gives you the grace to perform, yet rewards you well when you use that grace! Discover also through many biblical stories how easy it is to diligently seek the Lord and how to walk in the faith that pleases Him. Get the keys to receiving His rewards for you as your eyes are opened to the truth that He is indeed a gracious God who wants to reward you!
",https://www.josephprince.com/sermons/god-is-a-gracious-rewarder?sku=20161002VJ
111,Christ Revealed In The Ark Of The Covenant ,28 September 2016,"
Get an insight into the ark of the covenant and find truths that will bring you victory over your challenges! In this powerful message, Joseph Prince explains how seeing Jesus and His finished work typified in the ark brings a fresh flood of God’s grace into every struggle with adversity and defeat. Follow the exciting story of the ark in the hands of both enemies and those who valued it, and learn what pleases God and causes Him to promote you. See God’s estimation of the blood on the mercy seat and discover the secret to walking in favor, wholeness and success in every area!
",https://www.josephprince.com/sermons/christ-revealed-in-the-ark-of-the-covenant?sku=20160928VJ
112,Unleash The Sound Of Victory! ,25 September 2016,"
Unleash the sound of victory and see the walls in your life crumble! Hear this powerful sermon by Joseph Prince and discover, from the Israelites’ miraculous conquest of Jericho, how you can “sound the ram’s horn” today in your areas of defeat and possess your victory. Learn why constantly hearing preaching on Jesus’ finished work—the Ram who willingly died for you—is key to taking your Jericho, no matter how seemingly impossible the battle. And be blessed to see why the Sun of Righteousness stands still, ready to deliver you when you call out to Him for grace and help.
",https://www.josephprince.com/sermons/unleash-the-sound-of-victory?sku=20160925VJ
113,The God Who Goes Before You ,11 September 2016,"
Live with greater confidence, knowing you have a God who goes before you, and even has your back covered! In this encouraging message for our perilous times, Joseph Prince shows you how the Lord protected His people by always being the first in and last out. See a powerful yet most-caring God who goes ahead of you to lead the way and clear the traps, and who is also your rear guard to shield you from marauding enemies. Let Him lead you as your Shepherd today, and live life light and fear-free, experiencing His goodness, mercy, and protection!
",https://www.josephprince.com/sermons/the-god-who-goes-before-you?sku=20160911VJ
114,Find Hope And Refuge In Dark Times ,4 September 2016,"
Is there hope and refuge for you and your loved ones during perilous times? Discover why for believers in Christ, the answer is a resounding “Yes!” Through a riveting study of the ark of the covenant, Joseph Prince unveils how Christ, our true mercy seat, has given us perfect standing before God and qualified us to take refuge and find safety under His wings. Walk in greater boldness today as you see why you can always come boldly to God to find mercy and grace to help no matter what your need, and begin to triumph over every adversity!
",https://www.josephprince.com/sermons/find-hope-and-refuge-in-dark-times?sku=20160904VJ
115,The Way Of Escape In Every Trial ,28 August 2016,"
With every trial comes God’s sure way of deliverance and escape! Joseph Prince shows you scripturally how for every crisis you face, the way for you to exit your troubles victoriously is through partaking of the Holy Communion. Whether it’s a sickness, family challenge, or work problem, see how victory comes through fellowship with the Lord as you discern and partake of His broken body and shed blood. Discover also how divine strength and life are yours when you partake often. Get a fresh revelation of this covenant meal and go from victory to victory and strength to strength!
",https://www.josephprince.com/sermons/the-way-of-escape-in-every-trial?sku=20160828VJ
116,Powerful Truths From The Book Of Revelation ,24 August 2016,"
Get an assurance of your salvation and eternal destiny in Christ! In this revelatory Bible study message, Joseph Prince takes an in-depth look at the seven churches in the book of Revelation and the personalized messages given to each church by the Lord. Find out who the “angels” of the churches really are and how one qualifies to be a “him who overcomes” who sits with Jesus on His throne. Learn also the importance of having faith, hope, and love in all that we do and how these three come about. Get scriptural answers to these and more and have your faith strengthened! 
",https://www.josephprince.com/sermons/powerful-truths-from-the-book-of-revelation?sku=20160824VJ
117,Protected By The Blood Of Jesus ,14 August 2016,"
Get the best coverage for your family today—learn how the blood of Jesus protects! In this powerful and practical message, Joseph Prince explains the significance of Jesus’ blood and why it protects us like nothing else can today. Listen to a true-life story of how a young, local schoolgirl was saved from the clutches of a serial killer because she was protected by the blood of Christ spoken over her. See also how family blessings abound for you and your future generations when you honor the precious blood of our Lord. Hear this important message today and live protected by Jesus’ blood!
",https://www.josephprince.com/sermons/protected-by-the-blood-of-jesus?sku=20160814VJ
118,Eat Your Way To Divine Health​—Part 2 ,7 August 2016,"
There’s power to deliver in the Lord’s Supper! In part two of this teaching on the Communion meal, Joseph Prince shows you how partaking of the Communion is both a celebration of your forgiveness and healing in Christ, as well as a means of practically partaking of the Lord’s healing, health, strength, and wholeness. See also from the Scriptures how it is God’s defense against every evil for the believer especially in times of darkness. Begin to partake with faith and joy today, and experience His power to deliver you from disease and destruction!
",https://www.josephprince.com/sermons/eat-your-way-to-divine-health-part-2?sku=20160807VJ
119,Eat Your Way To Divine Health ,31 July 2016,"
Discover the bread and drink that can make all the difference to experiencing God’s healing and divine health in your body today! In this life-giving message, Joseph Prince explains scripturally what the Lord’s Supper is about and how it is God’s key to becoming stronger and healthier in a time of escalating sickness and disease. Get an accurate understanding of how the bread and cup convey separate, powerful truths and learn what it means to “judge yourself” during the meal. Whatever your condition, get a revelation of this potent covenant meal and start eating your way to divine health!
",https://www.josephprince.com/sermons/eat-your-way-to-divine-health?sku=20160731VJ
120,What It Means To Prosper In All Things ,24 July 2016,"
Learn what it truly means to prosper and bring delight to God’s heart! Joseph Prince shows you from the Bible how true prosperity and being blessed in all things begin and end with seeing and knowing Jesus. When you look to and trust in Him, that’s the best soul prosperity you can have. Discover also how as you prosper inwardly and put Jesus’ glory as the end-goal in life’s pursuits, He’ll bless you in every area of your life. Whatever the lack, walk in the truth of Jesus and see God’s abundant provision manifest for you and loved ones!
",https://www.josephprince.com/sermons/what-it-means-to-prosper-in-all-things?sku=20160724VJ
121,"Say ""Yes!"" To All His Promises ",17 July 2016,"
Every promise of God is yours! There isn’t a life-giving promise you can’t say “Yes” and “Amen” to! In this revelatory message, Joseph Prince shows you why God isn’t a fickle sometimes-yes-sometimes-no God, but a God who wants to bless you with every single blessing because of the finished work of Christ. Whether it’s health, provision, or deliverance from an addiction, see how God’s promises in these areas can manifest in your life. Pay no more attention to the enemy who says you can have this but not that. Because you are in Christ, all of God’s promises are yours to experience!
",https://www.josephprince.com/sermons/say-yes-to-all-his-promises?sku=20160717VJ
122,Living Under God’s Constant Supply Of Miracles ,10 July 2016,"
Do you need God to work a miracle in your life today? How about every day? Then listen to this powerful sermon by Joseph Prince and see from the Scriptures what causes miracles to flow in your life. Hear inspiring testimonies of believers receiving miracle after miracle and understand how such a blessed life isn’t dependent on self-effort, but on being conscious of your righteousness in Christ. Learn also how you can live free from the curse and experience the Lord’s provision and protection daily. Whatever miracle you need today, hear this message and receive your breakthrough with renewed hope and faith! 
",https://www.josephprince.com/sermons/living-under-gods-constant-supply-of-miracles?sku=20160710VJ
123,God Loves To Exceed Your Expectations ,3 July 2016,"
Whatever your need today, expect God to more than meet it! In this uplifting message by Joseph Prince, see from the parables of the good shepherd and the prodigal son how God doesn’t just give you the bare minimum, but provides exceedingly above all you can ask or imagine. Lost your way and need God to rescue you? He’ll do it with joy! Worried about the practical needs of life? He’ll clothe you with His best and give you the fatted calf! Hear the truth about God’s heart for you and begin to receive from a gracious God who exceeds your expectations!
",https://www.josephprince.com/sermons/god-loves-to-exceed-your-expectations?sku=20160703VJ
124,Positioned In His Protection ,26 June 2016,"
Live fearlessly in dangerous times! See yourself seated with Christ, positioned under His protection, in this vital message by Joseph Prince. When you know your blessed position in Christ and believe His promises of protection for you, you’ll not be fearful, insecure, or feel vulnerable despite the dangers in this world. Learn also how you can fortify yourself with a sense of God’s love, total protection, and liberal supply before you face the demands of the day. See God’s heart to keep you safe and bless you with a long life, and start living life confidently under His provision and protection!
",https://www.josephprince.com/sermons/positioned-in-his-protection?sku=20160626VJ
125,Experience God’s Sure Kindness Toward You ,19 June 2016,"
Take up God’s invitation to eat at His table and find every blessing you need! See God’s sure mercies toward you as Joseph Prince unveils new covenant truths from the parable of the Great Supper and the story of Mephibosheth, Jonathan’s son who was lame in his feet. Learn how your heavenly Father wants to show you kindness and has already provided all the righteousness, healing, wisdom, and supply you need. Whatever the demand or difficulty you face today, come—feast freely at His table—and experience His strength, provision, and victory over every circumstance!
",https://www.josephprince.com/sermons/experience-gods-sure-kindness-toward-you?sku=20160619VJ
126,Looking To Jesus—The Key To Blessings And Victory (Live In Israel) ,5 June 2016,"
Live as an overcomer! See victory in your challenges, not by focusing on yourself but by simply looking to Jesus. In this inspiring and revelatory message preached at Caesarea Maritima in Israel, Joseph Prince shows you why and how being Christ-occupied keeps you above the storms of life. As you see what Jesus is doing for you today as your great High Priest, find rest for your soul and a deeper intimacy with the Lord that will only result in a more powerful Christian walk. Whatever your challenge or weakness, look to your Savior today and begin to experience lasting transformation and breakthrough upon breakthrough!
",https://www.josephprince.com/sermons/looking-to-jesus-the-key-to-blessings-and-victory-live-in-israel?sku=20160605VJ
127,Live Full Of Faith ,15 May 2016,"
Live a life of blessings and freedom from every curse when you live by faith! In this key message on victorious Christian living, Joseph Prince rightly divides from God’s Word two ways believers can live their lives—by faith or by the law—and the difference what you believe makes. See how choosing faith leads to Christ-occupation, health, vigor, and life, whereas going by the law eventually leads to self-occupation, frustration, and defeat. Whatever your difficulty today, learn how you can live full of faith, and experience God’s deliverance, healing, provision, and fruitfulness coming into and transforming your situation!
",https://www.josephprince.com/sermons/live-full-of-faith?sku=20160515VJ
128,Live Victorious ,8 May 2016,"
Why are some Christians victorious and others defeated? Could the answer be as simple as knowing the difference between law and grace? In this life-changing message, Joseph Prince describes the seven dispensations and explains why a victorious life comes when we rightly divide between law and grace. Learn how it is knowing you are dead to the law that leads to holiness and bearing fruit to God. See also why not being under the law doesn’t mean a licentious lifestyle and how going back and forth between law and grace actually amounts to spiritual adultery. Understand these crucial differences and start to live victorious!
",https://www.josephprince.com/sermons/live-victorious?sku=20160508M3
129,Live Undefeated In Christ ,1 May 2016,"
How do the righteous walk uprightly and live a life of victory that honors Christ? Joseph Prince compares two righteous men in the Old Testament—Abraham and Lot—and shows you why one excelled in life while the other didn’t. Find out how communion with the Lord equips you with strength and boldness, as well as the wisdom to avoid costly mistakes—for you and your family. As you get a fresh revelation of the tender mercies of God, begin to enjoy a closer walk with Him, one where He leads you into all His blessings!
",https://www.josephprince.com/sermons/live-undefeated-in-christ?sku=20160501VJ
130,God's Restoration For Your Family​—Part 2​ ,24 April 2016,"
What’s the secret to family wholeness and seeing restoration in your family? How can we have blessed marriages and blessed results in our parenting? In this practical and revelatory sermon, Joseph Prince shows from Scripture what makes women beautiful in their husbands&#039; eyes and how trusting in the Lord is key. Discover also how husbands and fathers can govern their families with divine wisdom and love, and stay strong even as they advance in years. Be encouraged to know too that children gone astray can experience a positive and glorious turnaround in Christ. Whatever the family challenge, hear these faith-building truths and experience God’s restoration!
",https://www.josephprince.com/sermons/gods-restoration-for-your-family-part-2?sku=20160424VJ
131,God's Restoration For Your Family ,10 April 2016,"
Is there hope for our loved ones who’ve gone astray? Most definitely! In this encouraging message, Joseph Prince shows you God’s promise of deliverance and restoration if you’ve lost your loved ones to a destructive habit or lifestyle. Whatever the bondage, however dark it seems, there’s hope in your loving Savior, who will retrieve and rescue them, and provide His supernatural light for your household. Learn also how to parent your children with wisdom, how not to be afraid of family crises, and how to lean on His supply for all of your family’s needs. Start seeing restoration for your family today!
",https://www.josephprince.com/sermons/gods-restoration-for-your-family?sku=20160410VJ
132,Follow Jesus And Blessings Follow You ,3 April 2016,"
Want to have a blessed family life? Thrive in all you do? Or be found at the right place at the right time? When you follow Jesus, these blessings follow you! In this inspiring sermon, Joseph Prince shows you how you can remain strong and drive out the giants in your life as Caleb did when you learn to walk in the right fear of the Lord and choose to follow Him. Discover also the apostle John’s secret to how he was always found following the Lord. As you learn to follow your loving Savior and Shepherd, see His favor, peace, and supply following you!
",https://www.josephprince.com/sermons/follow-jesus-and-blessings-follow-you?sku=20160403VJ
133,Golgotha—God's Love Revealed ,27 March 2016,"
In man’s cruelest act against God, see God’s greatest love revealed! In this uplifting Resurrection Sunday sermon, Joseph Prince unveils the love of God like never before. See how much the Lord suffered for you at Calvary so that you can call God your heavenly Father and always enjoy His presence and blessings. Learn also how the Lord’s resurrection gives you victory over fearfulness, faithlessness, and fruitlessness. Whatever your challenge today, experience the peace and joy the disciples had when they saw their risen Lord, and let His love, finished work, and resurrection life propel you into victory!
",https://www.josephprince.com/sermons/golgotha-gods-love-revealed?sku=20160327M3
134,Find Protection Under His Wings ,20 March 2016,"
Live protected and fear-free under the wings of the Almighty! In this encouraging message by Joseph Prince, see how much the Lord wants to take you under His wings to protect you like a mother hen would her chicks. Learn how as a believer in Christ you have a righteous foundation to ask your heavenly Father to send now His salvation, provision, and deliverance into your situation. Whatever your concerns and fears, discover how you can find refuge and safety under your Savior’s wings, and start living life abundantly with boldness and confidence!
",https://www.josephprince.com/sermons/find-protection-under-his-wings?sku=20160320VJ
135,Find Freedom In His Perfect Love (Live In Israel) ,6 March 2016,"
God’s perfect love sets you free like nothing else can! Join Joseph Prince at Tzemach Beach in Israel as he illuminates the Father’s perfect and powerful love for you. See why it is not about your love for Him, but all about His love for you. Discover through the Scriptures how intimacy with the Lord as well as spiritual perception and maturity are all rooted in your revelation of how much God loves you and has forgiven you. Whatever the challenge you are facing today, whatever your failure, lean on His love and find the freedom and victory you need!
",https://www.josephprince.com/sermons/find-freedom-in-his-perfect-love-live-in-israel?sku=20160306VJ
136,The One Thing That Brings Success In Every Area ,14 February 2016,"Get the simple but powerful truth that brings success in every area of your life! Learn what biblical meditation is and how it can cause you to prosper in all that you set your hands to. With practical examples, Joseph Prince teaches you how to meditate on God’s Word, and opens your eyes to the resuscitating and revitalizing power of the written Word. Whether it’s a health condition, travels fears, or exam jitters, discover how meditating on God’s Word can bring into your situation the healing, peace, wisdom, and good success you need!",https://www.josephprince.com/sermons/the-one-thing-that-brings-success-in-every-area?sku=20160214VJ
137,Activate God’s Favor In Your Life ,31 January 2016,"Get the keys to activating God’s favor in your life and experience a whole new level of success and wholeness! When God’s favor is upon you, success follows you no matter what life throws at you. In this inspiring Joseph Prince sermon, learn from the life story of Joseph of the Old Testament what God’s favor is and how it always causes you to come out on top. Learn also what disrupts favor in your life and what keeps you in a cycle of defeat. Whatever your situation, see God restore and promote you when you tap into His unmerited favor!",https://www.josephprince.com/sermons/activate-gods-favor-in-your-life?sku=20160131VJ
138,Listen To The Preached Word And See Breakthroughs ,24 January 2016,"
Learn how to tap into God’s delivery system for your every need today! In this essential message by Joseph Prince, discover how hearing and hearing the Word preached not just imparts faith, but unlocks God’s flow of supply and miracles into your areas of challenge. From inspiring New Testament accounts and real-life testimonies, see how constantly hearing the Word delivers God’s healing, protection, and shalom-peace even when all seems lost. Be encouraged to keep hearing the preached Word and begin to see God impart His wisdom to you, supply your needs, and work miracles in your life!
",https://www.josephprince.com/sermons/listen-to-the-preached-word-and-see-breakthroughs?sku=20160124VJ
139,Wisdom To Possess Your Possessions ,17 January 2016,"
Get the wisdom you need to possess your possessions! Join Joseph Prince in this must-hear message as he continues to show you important keys to avoiding pitfalls and possessing the blessings that God has for you. Understand how living a godly life marked by good success happens when you first know the wealth and rest you have in Christ. Learn how to take Christ and His Word as your unfailing wisdom and begin to redeem the time in all areas. Be blessed also as you hear the Lord’s word of wisdom for possessing health and wholeness in every part of your body!
",https://www.josephprince.com/sermons/wisdom-to-possess-your-possessions?sku=20160117VJ
